size,file,threads,blocks,duration
4096,Cuda/mandelbrot_cuda,1,64,2.27088
4096,Cuda/mandelbrot_cuda,1,64,2.219485
4096,Cuda/mandelbrot_cuda,1,64,2.296251
4096,Cuda/mandelbrot_cuda,1,64,2.26088
4096,Cuda/mandelbrot_cuda,1,64,2.280812
4096,Cuda/mandelbrot_cuda,1,64,2.234534
4096,Cuda/mandelbrot_cuda,1,64,2.273231
4096,Cuda/mandelbrot_cuda,1,64,2.225609
4096,Cuda/mandelbrot_cuda,1,64,2.269663
4096,Cuda/mandelbrot_cuda,1,64,2.174914
4096,Cuda/mandelbrot_cuda,1,64,2.269858
4096,Cuda/mandelbrot_cuda,1,64,2.240348
4096,Cuda/mandelbrot_cuda,1,64,2.244543
4096,Cuda/mandelbrot_cuda,1,64,2.201286
4096,Cuda/mandelbrot_cuda,1,64,2.235863
4096,Cuda/mandelbrot_cuda,2,64,2.320106
4096,Cuda/mandelbrot_cuda,2,64,2.333313
4096,Cuda/mandelbrot_cuda,2,64,2.254517
4096,Cuda/mandelbrot_cuda,2,64,2.297603
4096,Cuda/mandelbrot_cuda,2,64,2.294213
4096,Cuda/mandelbrot_cuda,2,64,2.275391
4096,Cuda/mandelbrot_cuda,2,64,2.182429
4096,Cuda/mandelbrot_cuda,2,64,2.243994
4096,Cuda/mandelbrot_cuda,2,64,2.255224
4096,Cuda/mandelbrot_cuda,2,64,2.272367
4096,Cuda/mandelbrot_cuda,2,64,2.245188
4096,Cuda/mandelbrot_cuda,2,64,2.244185
4096,Cuda/mandelbrot_cuda,2,64,2.305144
4096,Cuda/mandelbrot_cuda,2,64,2.246792
4096,Cuda/mandelbrot_cuda,2,64,2.232004
4096,Cuda/mandelbrot_cuda,4,64,2.259435
4096,Cuda/mandelbrot_cuda,4,64,2.298557
4096,Cuda/mandelbrot_cuda,4,64,2.21684
4096,Cuda/mandelbrot_cuda,4,64,2.255786
4096,Cuda/mandelbrot_cuda,4,64,2.236932
4096,Cuda/mandelbrot_cuda,4,64,2.237598
4096,Cuda/mandelbrot_cuda,4,64,2.246994
4096,Cuda/mandelbrot_cuda,4,64,2.24856
4096,Cuda/mandelbrot_cuda,4,64,2.288613
4096,Cuda/mandelbrot_cuda,4,64,2.256979
4096,Cuda/mandelbrot_cuda,4,64,2.304974
4096,Cuda/mandelbrot_cuda,4,64,2.242319
4096,Cuda/mandelbrot_cuda,4,64,2.268582
4096,Cuda/mandelbrot_cuda,4,64,2.259155
4096,Cuda/mandelbrot_cuda,4,64,2.270618
4096,Cuda/mandelbrot_cuda,8,64,2.265291
4096,Cuda/mandelbrot_cuda,8,64,2.27438
4096,Cuda/mandelbrot_cuda,8,64,2.233157
4096,Cuda/mandelbrot_cuda,8,64,2.214395
4096,Cuda/mandelbrot_cuda,8,64,2.254459
4096,Cuda/mandelbrot_cuda,8,64,2.246574
4096,Cuda/mandelbrot_cuda,8,64,2.23557
4096,Cuda/mandelbrot_cuda,8,64,2.248826
4096,Cuda/mandelbrot_cuda,8,64,2.340329
4096,Cuda/mandelbrot_cuda,8,64,2.26523
4096,Cuda/mandelbrot_cuda,8,64,1.997079
4096,Cuda/mandelbrot_cuda,8,64,2.27811
4096,Cuda/mandelbrot_cuda,8,64,2.249197
4096,Cuda/mandelbrot_cuda,8,64,2.243027
4096,Cuda/mandelbrot_cuda,8,64,2.269505
4096,Cuda/mandelbrot_cuda,16,64,2.268939
4096,Cuda/mandelbrot_cuda,16,64,2.240767
4096,Cuda/mandelbrot_cuda,16,64,2.236224
4096,Cuda/mandelbrot_cuda,16,64,2.2778
4096,Cuda/mandelbrot_cuda,16,64,2.253861
4096,Cuda/mandelbrot_cuda,16,64,2.26766
