size,file,processes,threads,blocks,duration
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.79575
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.703024
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.706134
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.706634
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.706741
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.706977
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.708079
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.726799
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.713059
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.71237
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.708155
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.710108
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.713769
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.71277
512,MPI+Cuda/mandelbrot_openmpi+cuda,1,256,16,6.711408
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,6.869311
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,6.873043
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,6.88111
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,6.952571
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,6.995029
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,6.940283
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,6.893156
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,7.026725
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,7.129463
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,7.039177
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,7.046188
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,6.916176
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,7.07307
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,7.121008
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,16,6.913711
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.921664
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.898535
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.899974
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.921948
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.910792
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.901686
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.908408
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.904997
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.903965
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.900783
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.904402
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.89915
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.901637
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.908621
512,MPI+Cuda/mandelbrot_openmpi+cuda,3,256,16,6.930959
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,6.983186
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,7.223219
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,7.1547
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,7.296961
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,7.080964
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,6.990713
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,6.977956
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,6.965463
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,6.973209
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,6.993897
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,6.952095
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,7.066172
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,6.949648
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,6.93951
512,MPI+Cuda/mandelbrot_openmpi+cuda,4,256,16,6.945915
