size,file,processes,threads,blocks,duration
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.330578
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.336371
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.332105
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.330751
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.333784
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.326533
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.331739
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.330517
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.334442
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.336833
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.330884
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.332409
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.336346
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.336302
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1,32,0.334088
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.205805
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.217699
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.207587
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.205796
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.211608
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.205284
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.210665
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.207639
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.207917
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.209108
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.209341
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.211253
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.206767
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.200378
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2,32,0.205861
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,4,32,0.153766
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,4,32,0.144407
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,4,32,0.140977
