size,file,processes,threads,duration
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.25142
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.232047
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.158229
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.235507
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.25801
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.237155
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.193852
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.231865
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.219808
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.248565
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.173526
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.206284
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.243326
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.228429
4096,MPI+OMP/mandelbrot_openmpi+omp,1,4,7.167326
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.860963
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.737905
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.805965
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.729101
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.708408
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.793885
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.743717
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.777283
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.803904
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.632991
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.663465
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.724398
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.888926
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.56948
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.77941
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.691806
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.777716
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.745599
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.652268
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.756947
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.794327
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.740391
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.779639
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.73189
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.730185
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.860902
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.752274
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.785285
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.734899
4096,MPI+OMP/mandelbrot_openmpi+omp,3,4,5.766314
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.834275
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.71678
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.755139
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.784481
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.797393
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.717755
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.750919
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.638722
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.800365
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.821792
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.740806
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.729686
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.765582
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.746385
4096,MPI+OMP/mandelbrot_openmpi+omp,4,4,5.71958
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.879284
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.799153
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.811792
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.819076
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.796681
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.778085
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.91984
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.718364
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.837544
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.784809
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.780415
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.821134
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.958637
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,5.913459
4096,MPI+OMP/mandelbrot_openmpi+omp,5,4,6.258567
