size,file,processes,threads,duration
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.326362
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.326166
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.659564
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.558397
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.491439
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.410129
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.630483
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.330684
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.263613
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.296723
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.229212
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.239057
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.28552
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.507386
4096,MPI+OMP/mandelbrot_openmpi+omp,2,1,12.334813
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.45717
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.413901
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.645434
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.84286
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.525635
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.634039
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.469783
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.506757
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.63625
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.473962
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.671569
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.585077
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.677648
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.480567
4096,MPI+OMP/mandelbrot_openmpi+omp,2,2,7.438513
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,6.015751
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,6.268287
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,6.455705
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,6.405347
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.925509
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,6.105718
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,6.248304
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,6.291146
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,6.439396
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.833653
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.877616
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,6.248448
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.909014
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.892719
4096,MPI+OMP/mandelbrot_openmpi+omp,2,4,5.774231
4096,MPI+OMP/mandelbrot_openmpi+omp,2,8,5.826549
4096,MPI+OMP/mandelbrot_openmpi+omp,2,8,5.747808
