size,file,threads,duration
4096,Pthreads/mandelbrot_pth,1,17.972036
4096,Pthreads/mandelbrot_pth,1,17.949213
4096,Pthreads/mandelbrot_pth,1,17.948436
4096,Pthreads/mandelbrot_pth,1,17.942375
4096,Pthreads/mandelbrot_pth,1,17.94485
4096,Pthreads/mandelbrot_pth,1,17.945999
4096,Pthreads/mandelbrot_pth,1,17.935461
4096,Pthreads/mandelbrot_pth,1,17.946115
4096,Pthreads/mandelbrot_pth,1,17.939537
4096,Pthreads/mandelbrot_pth,1,17.94274
4096,Pthreads/mandelbrot_pth,1,17.948921
4096,Pthreads/mandelbrot_pth,1,17.940486
4096,Pthreads/mandelbrot_pth,1,17.944513
4096,Pthreads/mandelbrot_pth,1,17.940686
4096,Pthreads/mandelbrot_pth,1,17.942932
4096,Pthreads/mandelbrot_pth,2,9.737713
4096,Pthreads/mandelbrot_pth,2,9.729247
4096,Pthreads/mandelbrot_pth,2,9.733082
4096,Pthreads/mandelbrot_pth,2,9.808826
4096,Pthreads/mandelbrot_pth,2,9.861067
4096,Pthreads/mandelbrot_pth,2,9.795484
4096,Pthreads/mandelbrot_pth,2,9.74267
4096,Pthreads/mandelbrot_pth,2,9.733248
4096,Pthreads/mandelbrot_pth,2,9.732619
4096,Pthreads/mandelbrot_pth,2,9.740673
4096,Pthreads/mandelbrot_pth,2,9.739681
4096,Pthreads/mandelbrot_pth,2,9.733134
4096,Pthreads/mandelbrot_pth,2,9.738302
4096,Pthreads/mandelbrot_pth,2,9.731067
4096,Pthreads/mandelbrot_pth,2,9.734522
4096,Pthreads/mandelbrot_pth,4,5.023655
4096,Pthreads/mandelbrot_pth,4,5.021327
4096,Pthreads/mandelbrot_pth,4,5.013727
4096,Pthreads/mandelbrot_pth,4,5.063509
4096,Pthreads/mandelbrot_pth,4,5.02918
4096,Pthreads/mandelbrot_pth,4,5.068013
4096,Pthreads/mandelbrot_pth,4,5.026871
4096,Pthreads/mandelbrot_pth,4,5.017143
4096,Pthreads/mandelbrot_pth,4,5.0143
4096,Pthreads/mandelbrot_pth,4,5.014247
4096,Pthreads/mandelbrot_pth,4,5.012655
4096,Pthreads/mandelbrot_pth,4,5.015371
4096,Pthreads/mandelbrot_pth,4,5.013749
4096,Pthreads/mandelbrot_pth,4,5.015877
4096,Pthreads/mandelbrot_pth,4,5.010414
4096,Pthreads/mandelbrot_pth,8,3.457218
4096,Pthreads/mandelbrot_pth,8,3.500555
4096,Pthreads/mandelbrot_pth,8,3.584797
4096,Pthreads/mandelbrot_pth,8,3.258441
4096,Pthreads/mandelbrot_pth,8,3.498643
4096,Pthreads/mandelbrot_pth,8,3.562038
4096,Pthreads/mandelbrot_pth,8,3.636386
4096,Pthreads/mandelbrot_pth,8,3.685493
4096,Pthreads/mandelbrot_pth,8,3.584635
4096,Pthreads/mandelbrot_pth,8,3.605232
4096,Pthreads/mandelbrot_pth,8,3.455578
4096,Pthreads/mandelbrot_pth,8,3.650793
4096,Pthreads/mandelbrot_pth,8,3.304834
4096,Pthreads/mandelbrot_pth,8,3.510316
4096,Pthreads/mandelbrot_pth,8,3.594256
4096,Pthreads/mandelbrot_pth,16,3.259966
4096,Pthreads/mandelbrot_pth,16,3.268163
