size,file,threads,duration
4096,Sequential/mandelbrot_seq,1,2.336879
4096,Sequential/mandelbrot_seq,1,2.321413
4096,Sequential/mandelbrot_seq,1,2.344682
4096,Sequential/mandelbrot_seq,1,2.354364
4096,Sequential/mandelbrot_seq,1,2.342273
4096,Sequential/mandelbrot_seq,1,2.360127
4096,Sequential/mandelbrot_seq,1,2.352072
4096,Sequential/mandelbrot_seq,1,2.357796
4096,Sequential/mandelbrot_seq,1,2.35791
4096,Sequential/mandelbrot_seq,1,2.359928
4096,Sequential/mandelbrot_seq,1,2.360384
4096,Sequential/mandelbrot_seq,1,2.358495
4096,Sequential/mandelbrot_seq,1,2.356316
4096,Sequential/mandelbrot_seq,1,2.356491
4096,Sequential/mandelbrot_seq,1,2.353291
